Начало периодамониторинга цен на нефть;Конец периодамониторинга цен на нефть;Средняя цена на нефть сырую марки «Юралс» на мировых рынках нефтяного сырья (средиземноморском и роттердамском)
15.мар.13;14.апр.13;764,6
15.апр.13;14.май.13;732,8
15.май.13;14.июн.13;749,3
15.июн.13;14.июл.13;766,9
15.июл.13;14.авг.13;801,8
15.авг.13;14.сен.13;827,9
15.сен.13;14.окт.13;793,8
15.окт.13;14.ноя.13;776,8
15.ноя.13;14.дек.13;802,2
15.дек.13;14.янв.14;787,9
15.янв.14;14.фев.14;784,7
15.фев.14;14.мар.14;789
15.мар.14;14.апр.14;770,5
15.апр.14;14.май.14;785,6
15.май.14;14.июн.14;785,9
15.июн.14;14.июл.14;791,4
15.июл.14;14.авг.14;756,2
15.авг.14;14.сен.14;717,4
15.сен.14;14.окт.14;669,8
15.окт.14;14.ноя.14;603,5
15.ноя.14;14.дек.14;518,3
15.дек.14;14.янв.15;381,8
15.янв.15;14.фев.15;364,9
15.фев.15;14.мар.15;424,5
15.мар.15;14.апр.15;390,4
15.апр.15;14.май.15;456,9
15.май.15;14.июн.15;453,8
15.июн.15;14.июл.15;430,1
15.июл.15;14.авг.15;373
15.авг.15;14.сен.15;330,9
15.сен.15;14.окт.15;344,4
15.окт.15;14.ноя.15;323,6
15.ноя.15;14.дек.15;287,7
15.дек.15;14.янв.16;237
15.янв.16;14.фев.16;207,2
15.фев.16;14.мар.16;243,7
15.мар.16;14.апр.16;270,2
15.апр.16;14.май.16;305,1
15.май.16;14.июн.16;341,4
15.июн.16;14.июл.16;327,6
15.июл.16;14.авг.16;303,5
15.авг.16;14.сен.16;332
15.сен.16;14.окт.16;333,8
15.окт.16;14.ноя.16;328,4
15.ноя.16;14.дек.16;349,1
15.дек.16;14.янв.17;383,5
15.янв.17;14.фев.17;388,7
15.фев.17;14.мар.17;381,5
15.мар.17;14.апр.17;365,3
15.апр.17;14.май.17;351,9
15.май.17;14.июн.17;354,9
15.июн.17;14.июл.17;333,3
15.июл.17;14.авг.17;365,5
15.авг.17;14.сен.17;378,3
15.сен.17;14.окт.17;405,6
15.окт.17;14.ноя.17;435,2
15.ноя.17;14.дек.17;456,5
15.дек.17;14.янв.18;485,5
15.янв.18;14.фев.18;483,7
15.фев.18;14.мар.18;456,6
15.мар.18;14.апр.18;480,3
15.апр.18;14.май.18;524,7
15.май.18;14.июн.18;549,1
15.июн.18;14.июл.18;536,8
15.июл.18;14.авг.18;518,7
15.авг.18;14.сен.18;543,5
15.сен.18;14.окт.18;592,1
15.окт.18;14.ноя.18;535,8
15.ноя.18;14.дек.18;441,4
15.дек.18;14.янв.19;408,4
15.янв.19;14.фев.19;450,4
15.фев.19;14.мар.19;475
15.мар.19;14.апр.19;503,9
15.апр.19;14.май.19;527,3
15.май.19;14.июн.19;486,6
15.июн.19;14.июл.19;462,1
15.июл.19;14.авг.19;448,5
15.авг.19;14.сен.19;434,5
15.сен.19;14.окт.19;438,6
15.окт.19;14.ноя.19;447,7
15.ноя.19;14.дек.19;471,2
15.дек.19;14.янв.20;477,6
15.янв.20;14.фев.20;419,7
15.фев.20;14.мар.20;345,1
15.мар.20;14.апр.20;138,7
15.апр.20;14.май.20;145,3
15.май.20;14.июн.20;274,2
15.июн.20;14.июл.20;319,9
15.июл.20;14.авг.20;323
15.авг.20;14.сен.20;312,1
15.сен.20;14.окт.20;296,2
15.окт.20;14.ноя.20;295,1
15.ноя.20;14.дек.20;343,4
15.дек.20;14.янв.21;377,4
15.янв.21;14.фев.21;416,1
15.фев.21;14.мар.21;469,7
15.мар.21;14.апр.21;451,8
15.апр.21;14.май.21;477,8
15.май.21;14.июн.21;495,7
15.июн.21;14.июл.21;537,5
15.июл.21;14.авг.21;516
15.авг.21;14.сен.21;504
15.сен.21;14.окт.21;560,4
15.окт.21;14.ноя.21;601,9
15.ноя.21;14.дек.21;553
15.дек.21;14.янв.22;563,3
15.янв.22;14.фев.22;669,5
15.фев.22;14.мар.22;697,8
15.мар.22;14.апр.22;582,6
